field_name,dk_column_name,description,dataset,data_source,source_link,year
d2_dslpm,EJScreen - Diesel particulate matter - Diesel particulate matter - EJ Index,diesel particulate matter ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_ldpnt,EJScreen - Lead Paint - Lead Paint - EJ Index,lead paint ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_ozone,EJScreen - Ozone - Ozone - EJ Index,ozone ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_pm25,EJScreen - Particulate Matter 2.5 - Particulate Matter 2.5 - EJ Index,particulate matter 2.5 ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_pnpl,EJScreen - Superfund proximity - Superfund proximity - EJ Index,superfund proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_prmp,EJScreen - RMP facility proximity - RMP facility proximity - EJ Index,rmp facility proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_ptraf,EJScreen - Traffic proximity - Traffic proximity - EJ Index,traffic proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_ptsdf,EJScreen - Hazardous waste proximity - Hazardous waste proximity - EJ Index,hazardous waste proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_pwdis,EJScreen - Wastewater discharge - Wastewater discharge - EJ Index,wastewater discharge ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_resp,EJScreen - Air toxics respiratory HI - Air toxics respiratory HI - EJ Index,air toxics respiratory hi ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_rsei_air,EJScreen - Toxic Releases to Air - Toxic Releases to Air - EJ Index,toxic releases to air ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_ust,EJScreen - Underground storage tanks - Underground storage tanks - EJ Index,underground storage tanks ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_cancer,EJScreen - Air toxics cancer risk - Air toxics cancer risk - Supplemental Index,air toxics cancer risk supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_dslpm,EJScreen - Diesel particulate matter - Diesel particulate matter - Supplemental Index,diesel particulate matter supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_ldpnt,EJScreen - Lead Paint - Lead Paint - Supplemental Index,lead paint supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_ozone,EJScreen - Ozone - Ozone - Supplemental Index,ozone supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_pm25,EJScreen - Particulate Matter 2.5 - Particulate Matter 2.5 - Supplemental Index,particulate matter 2.5 supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_pnpl,EJScreen - Superfund proximity - Superfund proximity - Supplemental Index,superfund proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_prmp,EJScreen - RMP facility proximity - RMP facility proximity - Supplemental Index,rmp facility proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_ptraf,EJScreen - Traffic proximity - Traffic proximity - Supplemental Index,traffic proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_ptsdf,EJScreen - Hazardous waste proximity - Hazardous waste proximity - Supplemental Index,hazardous waste proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_pwdis,EJScreen - Wastewater discharge - Wastewater discharge - Supplemental Index,wastewater discharge supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_resp,EJScreen - Air toxics respiratory HI - Air toxics respiratory HI - Supplemental Index,air toxics respiratory hi supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_rsei_air,EJScreen - Toxic Releases to Air - Toxic Releases to Air - Supplemental Index,toxic releases to air supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_ust,EJScreen - Underground storage tanks - Underground storage tanks - Supplemental Index,underground storage tanks supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
dp05_0035pe,ACS - Population Percentage by Race (Two or More Races),percentage of the population - two or more races,B202001 Race,US Census American Community Survey (5-year estimates),,2022
dp05_0037pe,ACS - Population Percentage by Race (White alone),percentage of the population - white alone,B202001 Race,US Census American Community Survey (5-year estimates),,2022
dp05_0038pe,ACS - Population Percentage by Race (Black or African American alone),percentage of the population - black or african american alone,B202001 Race,US Census American Community Survey (5-year estimates),,2022
dp05_0039pe,ACS - Population Percentage by Race (American Indian and Alaska Native alone),percentage of the population - american indian and alaska native alone,B202001 Race,US Census American Community Survey (5-year estimates),,2022
dp05_0044pe,ACS - Population Percentage by Race (Asian alone),percentage of the population - asian alone,B202001 Race,US Census American Community Survey (5-year estimates),,2022
dp05_0052pe,ACS - Population Percentage by Race (Native Hawaiian and Other Pacific Islander alone),percentage of the population - native hawaiian and other pacific islander alone,B202001 Race,US Census American Community Survey (5-year estimates),,2022
dp05_0057pe,ACS - Population Percentage by Race (Some Other Race Alone),percentage of the population - some other race alone,B202001 Race,US Census American Community Survey (5-year estimates),,2022
dslpm,EJScreen - Diesel particulate matter - Diesel particulate matter,diesel particulate matter,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
economic_distress_pop_agg,CDFI Fund (Areas of Economic Distress) - Aggregated by Land,"population weighting aggregation methodology: yes if any of any of items (a) - (f) is yes.  no if otherwise.  
(a)yes if at least 20 percent of households in the census tract are very low-income renters or owners who pay more than half their income for housing.  no if otherwise.  

source: american community survey special tabulations (chas) 2013 5-year estimates and u.s. department of housing and urban development. on july 6, 2016 hud released updated chas data for the 2009-2013 period. 

https://www.huduser.gov/portal/datasets/cp.html
(b)yes if the census tract a designated qualified opportunity zones under 26 u.s. code section 1400z-1. no if otherwise.; vhttps://www.cdfifund.gov/sites/cdfi/files/documents/designated-qozs.12.14.18.xlsx

source: cdfi fund opportunity fund database
(c)whether the tract is eligible as a low-income housing tax credit (lihtc) qualified census tract, january 1, 2021, https://qct.huduser.gov/ ; https://www.huduser.gov/portal/datasets/qct/qct2021csv.zip
(d)yes if greater than 20% of households in the census tract have incomes below the poverty rate and the census tract has a rental vacancy rate of at least 10 percent. no if otherwise.  

source: american community survey special tabulations (chas) 2013 5-year estimates and u.s. department of housing and urban development.
(e)yes if greater than 20% of households in the census tract have incomes below the poverty rate and the census tract has an owner vacancy rate of at least 10 percent. no if otherwise.  

source: american community survey special tabulations (chas) 2013 5-year estimates and u.s. department of housing and urban development.
(f)yes if census tract is (1) a non-metropolitan area that: (i) qualifies as a low-income area; and (ii) is experiencing economic distress evidenced by 30 percent or more of resident households with one or more of these four housing conditions in the most recent census for which data are available: (a) lacking complete plumbing, (b) lacking complete kitchen, (c) paying 30 percent or more of income for owner costs or tenant rent, or (d) having more than 1 person per room.  no if otherwise.  

source: american community survey special tabulations (chas) 2013 5-year estimates.",CDFI Fund (Areas of Economic Distress),U.S. Department of the Treasury Community Development Financial Institutions Fund (CDFI Fund),,2021
economic_distress_simple_agg,CDFI Fund (Areas of Economic Distress) - Simple Aggregation,"simple aggregation methodology: yes if any of any of items (a) - (f) is yes.  no if otherwise.  
(a)yes if at least 20 percent of households in the census tract are very low-income renters or owners who pay more than half their income for housing.  no if otherwise.  

source: american community survey special tabulations (chas) 2013 5-year estimates and u.s. department of housing and urban development. on july 6, 2016 hud released updated chas data for the 2009-2013 period. 

https://www.huduser.gov/portal/datasets/cp.html
(b)yes if the census tract a designated qualified opportunity zones under 26 u.s. code section 1400z-1. no if otherwise.; vhttps://www.cdfifund.gov/sites/cdfi/files/documents/designated-qozs.12.14.18.xlsx

source: cdfi fund opportunity fund database
(c)whether the tract is eligible as a low-income housing tax credit (lihtc) qualified census tract, january 1, 2021, https://qct.huduser.gov/ ; https://www.huduser.gov/portal/datasets/qct/qct2021csv.zip
(d)yes if greater than 20% of households in the census tract have incomes below the poverty rate and the census tract has a rental vacancy rate of at least 10 percent. no if otherwise.  

source: american community survey special tabulations (chas) 2013 5-year estimates and u.s. department of housing and urban development.
(e)yes if greater than 20% of households in the census tract have incomes below the poverty rate and the census tract has an owner vacancy rate of at least 10 percent. no if otherwise.  

source: american community survey special tabulations (chas) 2013 5-year estimates and u.s. department of housing and urban development.
(f)yes if census tract is (1) a non-metropolitan area that: (i) qualifies as a low-income area; and (ii) is experiencing economic distress evidenced by 30 percent or more of resident households with one or more of these four housing conditions in the most recent census for which data are available: (a) lacking complete plumbing, (b) lacking complete kitchen, (c) paying 30 percent or more of income for owner costs or tenant rent, or (d) having more than 1 person per room.  no if otherwise.  

source: american community survey special tabulations (chas) 2013 5-year estimates.",CDFI Fund (Areas of Economic Distress),U.S. Department of the Treasury Community Development Financial Institutions Fund (CDFI Fund),,2021
energy_burden,DOE (2018) - Energy burden,energy burden,CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2018
energy_burden_percentile,DOE (2018) - Energy burden (percentile),energy burden (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2018
expected_agricultural_loss_rate_natural_hazards_risk_index,FEMA (2014-2021) - Expected agricultural loss rate (Natural Hazards Risk Index),expected agricultural loss rate (natural hazards risk index),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
expected_agricultural_loss_rate_natural_hazards_risk_index_percentile,FEMA (2014-2021) - Expected agricultural loss rate (Natural Hazards Risk Index) (percentile),expected agricultural loss rate (natural hazards risk index) (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
expected_building_loss_rate_natural_hazards_risk_index,FEMA (2014-2021) - Expected building loss rate (Natural Hazards Risk Index),expected building loss rate (natural hazards risk index),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
expected_building_loss_rate_natural_hazards_risk_index_percentile,FEMA (2014-2021) - Expected building loss rate (Natural Hazards Risk Index) (percentile),expected building loss rate (natural hazards risk index) (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
expected_population_loss_rate_natural_hazards_risk_index,FEMA (2014-2021) - Expected population loss rate (Natural Hazards Risk Index),expected population loss rate (natural hazards risk index),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
expected_population_loss_rate_natural_hazards_risk_index_percentile,FEMA (2014-2021) - Expected population loss rate (Natural Hazards Risk Index) (percentile),expected population loss rate (natural hazards risk index) (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
investment_areas,CDFI Fund Investment Areas,"a cdfi investment area is defined as a geographic unit (state, county, census tract, block group, indian/native areas), or as contiguous geographic units entirely located within the united states that meets one of the following criteria: (1) has a population poverty rate of at least 20 percent; (2) or has an unemployment rate of at least 1.5 times the national average; (3) or for a metropolitan area has a median family income (mfi) at or below 80 percent  of the greater of either the metropolitan mfi or national metropolitan mfi; (4) or for a non-metropolitan area that has a mfi at or below 80 percent of the greater of either the  statewide non-metropolitan mfi or national non-metropolitan mfi; (5) or is wholly located within an empowerment zone or enterprise community; (6) or has a county population loss greater than or equal to ten percent for metro areas or five percent for non-metro areas.",CDFI Fund (Investment Areas),U.S. Department of the Treasury Community Development Financial Institutions Fund (CDFI Fund),,2021
loan_amount,Total CDFI Lending Reported (CDFI Fund Transaction Level Report),original loan/investment amount,CDFI Fund (TLR),U.S. Department of the Treasury Community Development Financial Institutions Fund (CDFI Fund),,2021
median_mortgage_amount,Median Mortgage Loan Amount (HMDA LAR),median amount for mortgage loans reported (HDMA LAR),"Home Mortgage Disclosure Act (HMDA) Modified Loan/Application 
Register (LAR) - 2022",U.S. Federal Financial Institutions Examination Council (FFIEC),,2022
median_prop_value,Median Property Value (HDMA LAR),median property value for mortgage loans reported (HDMA LAR),"Home Mortgage Disclosure Act (HMDA) Modified Loan/Application 
Register (LAR) - 2022",U.S. Federal Financial Institutions Examination Council (FFIEC),,2022
median_sba504_loan_amount,Median SBA 504 Loan Amount (FY2010-Present),median sba 504 loan amount,FOIA - 504 (FY2010-Present) ,U.S. Small Business Administration (SBA),,2023
median_sba7a_loan_amount,Median SBA 7(a) Loan Amount (FY2020-Present),median sba 7(a) loan amount,FOIA - 7(a)(FY2020-Present) ,U.S. Small Business Administration (SBA),,2023
num_mortgage,Number of Mortgage Loans (HMDA LAR),number of mortgage loans reported (HDMA LAR),"Home Mortgage Disclosure Act (HMDA) Modified Loan/Application 
Register (LAR) - 2022",U.S. Federal Financial Institutions Examination Council (FFIEC),,2022
num_mortgage_denials,Number of Mortgage Denials (HMDA LAR),number of mortgage denials reported (HDMA LAR),"Home Mortgage Disclosure Act (HMDA) Modified Loan/Application 
Register (LAR) - 2022",U.S. Federal Financial Institutions Examination Council (FFIEC),,2022
num_mortgage_originated,Number of Mortgages Originated (HMDA LAR),number of mortgages reported as originated (HDMA LAR),,,,
number_of_sba504_loans,Number of SBA 504 Loans (FY2010-Present),number of sba 504 loans,FOIA - 504 (FY2010-Present) ,U.S. Small Business Administration (SBA),,2023
number_of_sba7a_loans,Number of SBA 7(a) Loans (FY2020-Present),number of sba 7(a) loans,FOIA - 7(a)(FY2020-Present) ,U.S. Small Business Administration (SBA),,2023
opzone,HUD - Opportunity Zones (U.S. Department of Housing and Urban Development),opportunity zone census tract indicator,Opportunity Zones (HUD),U.S. Department of Housing and Urban Development (HUD),,2018
ozone,EJScreen - Ozone - Ozone,ozone,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_cancer,EJScreen - Percentile for Air toxics cancer risk - Percentile for Air toxics cancer risk,percentile for  air toxics cancer risk,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_cancer,EJScreen - Percentile for Air toxics cancer risk - Percentile for Air toxics cancer risk - EJ Index,percentile for  air toxics cancer risk ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_dslpm,EJScreen - Percentile for Diesel particulate matter - Percentile for Diesel particulate matter - EJ Index,percentile for  diesel particulate matter ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_ldpnt,EJScreen - Percentile for Lead Paint - Percentile for Lead Paint - EJ Index,percentile for lead paint ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_ozone,EJScreen - Percentile for Ozone - Percentile for Ozone - EJ Index,percentile for ozone ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_pm25,EJScreen - Percentile for Particulate Matter 2.5 - Percentile for Particulate Matter 2.5 - EJ Index,percentile for particulate matter 2.5 ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_pnpl,EJScreen - Percentile for Superfund proximity - Percentile for Superfund proximity - EJ Index,percentile for superfund proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_prmp,EJScreen - Percentile for RMP facility proximity - Percentile for RMP facility proximity - EJ Index,percentile for rmp facility proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_ptraf,EJScreen - Percentile for Traffic proximity - Percentile for Traffic proximity - EJ Index,percentile for traffic proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_ptsdf,EJScreen - Percentile for Hazardous waste proximity - Percentile for Hazardous waste proximity - EJ Index,percentile for hazardous waste proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_pwdis,EJScreen - Percentile for Wastewater discharge - Percentile for Wastewater discharge - EJ Index,percentile for wastewater discharge ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_resp,EJScreen - Percentile for Air toxics respiratory HI - Percentile for Air toxics respiratory HI - EJ Index,percentile for air toxics respiratory hi ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_rsei_air,EJScreen - Percentile for Toxic Releases to Air - Percentile for Toxic Releases to Air - EJ Index,percentile for toxic releases to air ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_ust,EJScreen - Percentile for Underground storage tanks - Percentile for Underground storage tanks - EJ Index,percentile for underground storage tanks ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_cancer,EJScreen - Percentile for Air toxics cancer risk - Percentile for Air toxics cancer risk - Supplemental Index,percentile for  air toxics cancer risk supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_dslpm,EJScreen - Percentile for Diesel particulate matter - Percentile for Diesel particulate matter - Supplemental Index,percentile for  diesel particulate matter supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_ldpnt,EJScreen - Percentile for Lead Paint - Percentile for Lead Paint - Supplemental Index,percentile for lead paint supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_ozone,EJScreen - Percentile for Ozone - Percentile for Ozone - Supplemental Index,percentile for ozone supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_pm25,EJScreen - Percentile for Particulate Matter 2.5 - Percentile for Particulate Matter 2.5 - Supplemental Index,percentile for particulate matter 2.5 supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_pnpl,EJScreen - Percentile for Superfund proximity - Percentile for Superfund proximity - Supplemental Index,percentile for superfund proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_prmp,EJScreen - Percentile for RMP facility proximity - Percentile for RMP facility proximity - Supplemental Index,percentile for rmp facility proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_ptraf,EJScreen - Percentile for Traffic proximity - Percentile for Traffic proximity - Supplemental Index,percentile for traffic proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_ptsdf,EJScreen - Percentile for Hazardous waste proximity - Percentile for Hazardous waste proximity - Supplemental Index,percentile for hazardous waste proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_pwdis,EJScreen - Percentile for Wastewater discharge - Percentile for Wastewater discharge - Supplemental Index,percentile for wastewater discharge supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_resp,EJScreen - Percentile for Air toxics respiratory HI - Percentile for Air toxics respiratory HI - Supplemental Index,percentile for air toxics respiratory hi supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_rsei_air,EJScreen - Percentile for Toxic Releases to Air - Percentile for Toxic Releases to Air - Supplemental Index,percentile for toxic releases to air supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_ust,EJScreen - Percentile for Underground storage tanks - Percentile for Underground storage tanks - Supplemental Index,percentile for underground storage tanks supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_dslpm,EJScreen - Percentile for Diesel particulate matter - Percentile for Diesel particulate matter,percentile for  diesel particulate matter,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_ldpnt,EJScreen - Percentile for Lead Paint - Percentile for Lead Paint,percentile for lead paint,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_ozone,EJScreen - Percentile for Ozone - Percentile for Ozone,percentile for ozone,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_pm25,EJScreen - Percentile for Particulate Matter 2.5 - Percentile for Particulate Matter 2.5,percentile for particulate matter 2.5,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
